,D,DC3,DL1,DM6,VA1d,VA1v,VA6,VM2,VM7 or VM5v #1,VM7 or VM5v #2
D,1.0,-0.3079777099093608,-0.42118775758857047,-0.2844151748502739,-0.543738357642766,-0.25473696154485204,-0.4580765428533513,-0.3207924529538911,0.18105204828006444,0.3180916032965451
DC3,-0.3079777099093608,1.0,0.27907233832502704,-0.06623348894609304,0.4796181219892295,-0.04730450257394665,0.27919474127984606,0.005366173982742319,-0.4172564579120911,-0.4082494785764664
DL1,-0.42118775758857047,0.27907233832502704,1.0,0.10393247013371641,0.5565043727464566,-0.08877826015983041,0.5886328250071535,0.22137907847216196,-0.416209944457511,-0.6833950403055556
DM6,-0.2844151748502739,-0.06623348894609304,0.10393247013371641,1.0,0.0198730589323853,-0.007327185436585785,0.03554267744588318,0.25273952534445915,-0.19851756983268573,-0.26924917052552316
VA1d,-0.543738357642766,0.4796181219892295,0.5565043727464566,0.0198730589323853,1.0,-0.0539125716387167,0.491308885033648,0.1887419097864271,-0.4524833550663066,-0.5542360007050747
VA1v,-0.25473696154485204,-0.04730450257394665,-0.08877826015983041,-0.007327185436585785,-0.0539125716387167,1.0,-0.053427074816058705,-0.10132459683157019,-0.224329320108977,-0.18630436109101664
VA6,-0.4580765428533513,0.27919474127984606,0.5886328250071535,0.03554267744588318,0.491308885033648,-0.053427074816058705,1.0,0.29956852846116666,-0.5082145795396411,-0.5930998350260602
VM2,-0.3207924529538911,0.005366173982742319,0.22137907847216196,0.25273952534445915,0.1887419097864271,-0.10132459683157019,0.29956852846116666,1.0,-0.21543045158459595,-0.4004066828514332
VM7 or VM5v #1,0.18105204828006444,-0.4172564579120911,-0.416209944457511,-0.19851756983268573,-0.4524833550663066,-0.224329320108977,-0.5082145795396411,-0.21543045158459595,1.0,0.47394695777199436
VM7 or VM5v #2,0.3180916032965451,-0.4082494785764664,-0.6833950403055556,-0.26924917052552316,-0.5542360007050747,-0.18630436109101664,-0.5930998350260602,-0.4004066828514332,0.47394695777199436,1.0
